subscriber_id,region,package_type,recharge_history,complaint_count,last_active_date,tenure_months,arpu,churn
SUB-00001,Delhi,Basic,"257,278,315,235,238,236",2,2026-04-02,95,264.9,0
SUB-00002,Chennai,Basic,"171,237,176,151,295,210",2,2026-05-16,18,222.28,0
SUB-00003,Jaipur,Basic,"180,194,270,221,237,221",1,2026-02-23,76,252.03,1
SUB-00004,Mumbai,Basic,"346,244,316,207,239,315",1,2026-04-17,12,305.57,0
SUB-00005,Chennai,Premium,"882,868,858,799,837,850",1,2026-06-05,78,873.85,0
SUB-00006,Jaipur,Basic,"310,326,326,319,271,250",2,2025-12-27,92,281.71,1
SUB-00007,Jaipur,Standard,"429,319,314,415,442,370",0,2026-02-17,29,374.59,0
SUB-00008,Lucknow,Standard,"574,517,668,454,480,497",2,2026-06-10,104,500.18,0
SUB-00009,Bangalore,Premium,"710,618,695,647,636,683",3,2026-03-16,55,658.12,0
SUB-00010,Kolkata,Basic,"249,268,265,211,299,297",4,2026-03-17,28,284.75,0
SUB-00011,Delhi,Basic,"238,272,241,260,149,203",2,2026-05-18,49,250.15,0
SUB-00012,Hyderabad,Standard,"523,643,510,535,518,461",4,2026-04-05,78,520.2,0
SUB-00013,Mumbai,Premium,"951,984,983,870,918,889",2,2026-01-25,59,914.28,0
SUB-00014,Delhi,Standard,"581,539,496,477,528,435",1,2026-01-21,11,496.16,0
SUB-00015,Kolkata,Premium,"807,814,837,894,792,865",2,2026-03-11,80,853.63,0
SUB-00016,Lucknow,Basic,"217,348,354,245,320,350",2,2026-05-25,91,289.21,0
SUB-00017,Mumbai,Premium,"864,837,786,915,846,763",0,2026-03-29,30,822.63,0
SUB-00018,Delhi,Basic,"308,333,290,316,226,276",2,2026-05-17,111,269.7,0
SUB-00019,Pune,Standard,"342,382,454,368,517,412",4,2025-12-31,59,381.51,1
SUB-00020,Hyderabad,Basic,"170,248,213,259,247,220",1,2026-03-13,48,224.29,0
SUB-00021,Chennai,Premium,"639,750,719,746,803,726",2,2025-12-14,35,715.32,0
SUB-00022,Delhi,Premium,"736,747,773,771,650,672",2,2026-04-29,82,719.11,0
SUB-00023,Jaipur,Premium,"877,863,860,793,776,859",6,2026-05-01,32,851.5,0
SUB-00024,Ahmedabad,Standard,"522,313,441,326,383,461",0,2025-12-30,35,407.2,1
SUB-00025,Jaipur,Basic,"198,254,219,359,283,150",3,2026-03-20,88,251.93,0
SUB-00026,Mumbai,Basic,"280,298,195,238,231,222",3,2026-06-03,106,255.59,0
SUB-00027,Hyderabad,Standard,"558,471,630,501,474,526",4,2026-05-26,35,538.27,0
SUB-00028,Chennai,Premium,"922,981,887,922,1064,1053",1,2026-03-23,113,987.2,0
SUB-00029,Chennai,Premium,"763,797,757,790,767,792",4,2026-03-02,64,787.16,0
SUB-00030,Ahmedabad,Basic,"262,299,283,238,259,245",3,2026-05-07,34,269.86,0
SUB-00031,Chennai,Premium,"783,759,770,709,784,768",2,2026-01-25,72,741.06,1
SUB-00032,Kolkata,Premium,"806,707,708,742,729,775",5,2026-02-22,75,728.99,0
SUB-00033,Lucknow,Standard,"471,440,417,428,453,382",2,2026-04-16,47,423.84,0
SUB-00034,Bangalore,Premium,"1047,1042,974,1008,904,1097",2,2026-05-19,64,1009.24,0
SUB-00035,Mumbai,Basic,"280,271,308,219,250,268",1,2026-01-02,20,240.73,0
SUB-00036,Bangalore,Premium,"814,816,851,876,902,961",0,2026-01-10,55,887.25,0
SUB-00037,Delhi,Standard,"484,491,478,509,451,518",1,2026-01-10,49,492.88,0
SUB-00038,Ahmedabad,Premium,"956,1002,976,955,1067,973",4,2026-01-21,33,953.27,1
SUB-00039,Mumbai,Premium,"849,751,805,684,796,748",3,2026-05-13,93,756.81,0
SUB-00040,Jaipur,Standard,"399,476,429,353,337,406",2,2025-12-29,99,382.25,1
SUB-00041,Hyderabad,Basic,"301,206,196,225,155,227",2,2026-02-20,38,210.39,1
SUB-00042,Bangalore,Standard,"445,448,423,476,392,438",4,2026-04-05,1,445.68,0
SUB-00043,Jaipur,Basic,"279,270,216,331,259,312",3,2026-05-15,65,253.61,0
SUB-00044,Kolkata,Premium,"881,850,785,789,720,878",4,2026-01-07,65,806.75,0
SUB-00045,Chennai,Basic,"269,325,293,275,316,262",3,2026-05-01,48,276.58,0
SUB-00046,Jaipur,Premium,"651,586,607,580,630,681",4,2026-06-11,118,633.53,0
SUB-00047,Lucknow,Standard,"425,374,361,395,348,373",1,2026-06-07,63,400.71,0
SUB-00048,Delhi,Standard,"415,450,432,359,353,419",2,2026-03-25,113,390.11,0
SUB-00049,Chennai,Basic,"172,276,184,235,282,184",3,2026-01-17,31,233.58,1
SUB-00050,Delhi,Basic,"214,181,220,198,336,296",2,2026-02-07,94,252.38,0
SUB-00051,Delhi,Premium,"873,875,826,747,789,755",1,2026-05-10,99,799.2,0
SUB-00052,Bangalore,Premium,"643,649,638,630,642,641",4,2026-01-22,61,661.72,0
SUB-00053,Bangalore,Standard,"381,283,442,428,404,420",1,2026-01-07,68,408.57,0
SUB-00054,Pune,Basic,"284,268,360,339,304,220",1,2026-01-24,119,258.21,1
SUB-00055,Chennai,Premium,"693,756,698,775,660,740",2,2026-03-01,40,743.54,0
