subscriber_id,region,package_type,recharge_history,complaint_count,last_active_date,tenure_months,arpu,churn,avg_recharge,min_recharge,recharge_trend,days_since_active,region_enc,package_enc,churn_probability,risk_tier
SUB-00001,Delhi,Basic,"257,278,315,235,238,236",2,2026-04-02,95,264.9,0,259.8333333333333,235.0,-21.0,70,3,0,0.0010453073,Low
SUB-00002,Chennai,Basic,"171,237,176,151,295,210",2,2026-05-16,18,222.28,0,206.66666666666666,151.0,39.0,26,2,0,2.5634237e-05,Low
SUB-00003,Jaipur,Basic,"180,194,270,221,237,221",1,2026-02-23,76,252.03,1,220.5,180.0,41.0,108,5,0,0.1128855,Low
SUB-00004,Mumbai,Basic,"346,244,316,207,239,315",1,2026-04-17,12,305.57,0,277.8333333333333,207.0,-31.0,55,8,0,4.030696e-05,Low
SUB-00005,Chennai,Premium,"882,868,858,799,837,850",1,2026-06-05,78,873.85,0,849.0,799.0,-32.0,6,2,1,5.5181e-06,Low
SUB-00006,Jaipur,Basic,"310,326,326,319,271,250",2,2025-12-27,92,281.71,1,300.3333333333333,250.0,-60.0,166,5,0,0.98650056,High
SUB-00007,Jaipur,Standard,"429,319,314,415,442,370",0,2026-02-17,29,374.59,0,381.5,314.0,-59.0,114,5,2,0.013277622,Low
SUB-00008,Lucknow,Standard,"574,517,668,454,480,497",2,2026-06-10,104,500.18,0,531.6666666666666,454.0,-77.0,1,7,2,1.2697525e-05,Low
SUB-00009,Bangalore,Premium,"710,618,695,647,636,683",3,2026-03-16,55,658.12,0,664.8333333333334,618.0,-27.0,87,1,1,0.0023923193,Low
SUB-00010,Kolkata,Basic,"249,268,265,211,299,297",4,2026-03-17,28,284.75,0,264.8333333333333,211.0,48.0,86,6,0,0.17532364,Low
SUB-00011,Delhi,Basic,"238,272,241,260,149,203",2,2026-05-18,49,250.15,0,227.16666666666666,149.0,-35.0,24,3,0,2.328258e-05,Low
SUB-00012,Hyderabad,Standard,"523,643,510,535,518,461",4,2026-04-05,78,520.2,0,531.6666666666666,461.0,-62.0,67,4,2,0.0024367522,Low
SUB-00013,Mumbai,Premium,"951,984,983,870,918,889",2,2026-01-25,59,914.28,0,932.5,870.0,-62.0,137,8,1,0.0076809498,Low
SUB-00014,Delhi,Standard,"581,539,496,477,528,435",1,2026-01-21,11,496.16,0,509.3333333333333,435.0,-146.0,141,3,2,0.17568193,Low
SUB-00015,Kolkata,Premium,"807,814,837,894,792,865",2,2026-03-11,80,853.63,0,834.8333333333334,792.0,58.0,92,6,1,0.00039988843,Low
SUB-00016,Lucknow,Basic,"217,348,354,245,320,350",2,2026-05-25,91,289.21,0,305.6666666666667,217.0,133.0,17,7,0,6.549486e-05,Low
SUB-00017,Mumbai,Premium,"864,837,786,915,846,763",0,2026-03-29,30,822.63,0,835.1666666666666,763.0,-101.0,74,8,1,4.672441e-05,Low
SUB-00018,Delhi,Basic,"308,333,290,316,226,276",2,2026-05-17,111,269.7,0,291.5,226.0,-32.0,25,3,0,2.471522e-05,Low
SUB-00019,Pune,Standard,"342,382,454,368,517,412",4,2025-12-31,59,381.51,1,412.5,342.0,70.0,162,9,2,0.9951704,High
SUB-00020,Hyderabad,Basic,"170,248,213,259,247,220",1,2026-03-13,48,224.29,0,226.16666666666666,170.0,50.0,90,4,0,0.011706865,Low
SUB-00021,Chennai,Premium,"639,750,719,746,803,726",2,2025-12-14,35,715.32,0,730.5,639.0,87.0,179,2,1,0.7076827,High
SUB-00022,Delhi,Premium,"736,747,773,771,650,672",2,2026-04-29,82,719.11,0,724.8333333333334,650.0,-64.0,43,3,1,1.1288216e-05,Low
SUB-00023,Jaipur,Premium,"877,863,860,793,776,859",6,2026-05-01,32,851.5,0,838.0,776.0,-18.0,41,5,1,0.000101986225,Low
SUB-00024,Ahmedabad,Standard,"522,313,441,326,383,461",0,2025-12-30,35,407.2,1,407.6666666666667,313.0,-61.0,163,0,2,0.64526355,Medium
SUB-00025,Jaipur,Basic,"198,254,219,359,283,150",3,2026-03-20,88,251.93,0,243.83333333333334,150.0,-48.0,83,5,0,0.051179554,Low
SUB-00026,Mumbai,Basic,"280,298,195,238,231,222",3,2026-06-03,106,255.59,0,244.0,195.0,-58.0,8,8,0,3.9482366e-05,Low
SUB-00027,Hyderabad,Standard,"558,471,630,501,474,526",4,2026-05-26,35,538.27,0,526.6666666666666,471.0,-32.0,16,4,2,5.71515e-05,Low
SUB-00028,Chennai,Premium,"922,981,887,922,1064,1053",1,2026-03-23,113,987.2,0,971.5,887.0,131.0,80,2,1,2.3800218e-05,Low
SUB-00029,Chennai,Premium,"763,797,757,790,767,792",4,2026-03-02,64,787.16,0,777.6666666666666,757.0,29.0,101,2,1,0.005460505,Low
SUB-00030,Ahmedabad,Basic,"262,299,283,238,259,245",3,2026-05-07,34,269.86,0,264.3333333333333,238.0,-17.0,35,0,0,4.6440637e-05,Low
SUB-00031,Chennai,Premium,"783,759,770,709,784,768",2,2026-01-25,72,741.06,1,762.1666666666666,709.0,-15.0,137,2,1,0.028300341,Low
SUB-00032,Kolkata,Premium,"806,707,708,742,729,775",5,2026-02-22,75,728.99,0,744.5,707.0,-31.0,109,6,1,0.07872792,Low
SUB-00033,Lucknow,Standard,"471,440,417,428,453,382",2,2026-04-16,47,423.84,0,431.8333333333333,382.0,-89.0,56,7,2,0.0002929726,Low
SUB-00034,Bangalore,Premium,"1047,1042,974,1008,904,1097",2,2026-05-19,64,1009.24,0,1012.0,904.0,50.0,23,1,1,3.9461047e-06,Low
SUB-00035,Mumbai,Basic,"280,271,308,219,250,268",1,2026-01-02,20,240.73,0,266.0,219.0,-12.0,160,8,0,0.8643447,High
SUB-00036,Bangalore,Premium,"814,816,851,876,902,961",0,2026-01-10,55,887.25,0,870.0,814.0,147.0,152,1,1,0.017277954,Low
SUB-00037,Delhi,Standard,"484,491,478,509,451,518",1,2026-01-10,49,492.88,0,488.5,451.0,34.0,152,3,2,0.44554883,Medium
SUB-00038,Ahmedabad,Premium,"956,1002,976,955,1067,973",4,2026-01-21,33,953.27,1,988.1666666666666,955.0,17.0,141,0,1,0.11957605,Low
SUB-00039,Mumbai,Premium,"849,751,805,684,796,748",3,2026-05-13,93,756.81,0,772.1666666666666,684.0,-101.0,29,8,1,1.6098e-05,Low
SUB-00040,Jaipur,Standard,"399,476,429,353,337,406",2,2025-12-29,99,382.25,1,400.0,337.0,7.0,164,5,2,0.9584939,High
SUB-00041,Hyderabad,Basic,"301,206,196,225,155,227",2,2026-02-20,38,210.39,1,218.33333333333334,155.0,-74.0,111,4,0,0.4341134,Medium
SUB-00042,Bangalore,Standard,"445,448,423,476,392,438",4,2026-04-05,1,445.68,0,437.0,392.0,-7.0,67,1,2,0.0030843783,Low
SUB-00043,Jaipur,Basic,"279,270,216,331,259,312",3,2026-05-15,65,253.61,0,277.8333333333333,216.0,33.0,27,5,0,5.9764636e-05,Low
SUB-00044,Kolkata,Premium,"881,850,785,789,720,878",4,2026-01-07,65,806.75,0,817.1666666666666,720.0,-3.0,155,6,1,0.7136403,High
SUB-00045,Chennai,Basic,"269,325,293,275,316,262",3,2026-05-01,48,276.58,0,290.0,262.0,-7.0,41,2,0,5.9925e-05,Low
SUB-00046,Jaipur,Premium,"651,586,607,580,630,681",4,2026-06-11,118,633.53,0,622.5,580.0,30.0,0,5,1,0.00015099297,Low
SUB-00047,Lucknow,Standard,"425,374,361,395,348,373",1,2026-06-07,63,400.71,0,379.3333333333333,348.0,-52.0,4,7,2,1.451315e-05,Low
SUB-00048,Delhi,Standard,"415,450,432,359,353,419",2,2026-03-25,113,390.11,0,404.6666666666667,353.0,4.0,78,3,2,0.0037333588,Low
SUB-00049,Chennai,Basic,"172,276,184,235,282,184",3,2026-01-17,31,233.58,1,222.16666666666666,172.0,12.0,145,2,0,0.97558343,High
SUB-00050,Delhi,Basic,"214,181,220,198,336,296",2,2026-02-07,94,252.38,0,240.83333333333334,181.0,82.0,124,3,0,0.5268046,Medium
SUB-00051,Delhi,Premium,"873,875,826,747,789,755",1,2026-05-10,99,799.2,0,810.8333333333334,747.0,-118.0,32,3,1,4.8029706e-06,Low
SUB-00052,Bangalore,Premium,"643,649,638,630,642,641",4,2026-01-22,61,661.72,0,640.5,630.0,-2.0,140,1,1,0.66619325,High
SUB-00053,Bangalore,Standard,"381,283,442,428,404,420",1,2026-01-07,68,408.57,0,393.0,283.0,39.0,155,1,2,0.6500454,High
SUB-00054,Pune,Basic,"284,268,360,339,304,220",1,2026-01-24,119,258.21,1,295.8333333333333,220.0,-64.0,138,9,0,0.7958337,High
SUB-00055,Chennai,Premium,"693,756,698,775,660,740",2,2026-03-01,40,743.54,0,720.3333333333334,660.0,47.0,102,2,1,0.0014487319,Low
SUB-00056,Hyderabad,Standard,"346,370,439,360,431,332",1,2026-01-30,116,389.45,0,379.6666666666667,332.0,-14.0,132,4,2,0.20315984,Low
SUB-00057,Ahmedabad,Basic,"337,274,270,290,344,259",2,2026-04-15,32,265.89,0,295.6666666666667,259.0,-78.0,57,0,0,0.00070046907,Low
SUB-00058,Delhi,Standard,"475,434,470,559,499,439",2,2026-01-12,3,455.69,0,479.3333333333333,434.0,-36.0,150,3,2,0.7068081,High
SUB-00059,Jaipur,Basic,"265,338,243,207,286,274",2,2026-04-16,76,286.04,0,268.8333333333333,207.0,9.0,56,5,0,0.0005733308,Low
SUB-00060,Mumbai,Basic,"282,303,230,254,300,337",3,2026-01-01,91,274.69,1,284.3333333333333,230.0,55.0,161,8,0,0.99493575,High
SUB-00061,Mumbai,Basic,"283,320,236,282,255,302",2,2026-06-03,9,278.98,0,279.6666666666667,236.0,19.0,8,8,0,2.6577969e-05,Low
SUB-00062,Hyderabad,Basic,"324,237,238,232,308,308",2,2026-04-12,66,260.01,0,274.5,232.0,-16.0,60,4,0,0.00106877,Low
SUB-00063,Kolkata,Premium,"989,849,1013,971,935,952",2,2026-04-18,63,938.59,0,951.5,849.0,-37.0,54,6,1,1.717656e-05,Low
SUB-00064,Jaipur,Basic,"305,245,227,238,228,159",2,2026-01-16,93,216.24,1,233.66666666666666,159.0,-146.0,146,5,0,0.9350381,High
SUB-00065,Lucknow,Standard,"477,385,437,298,459,375",4,2026-02-10,32,382.93,0,405.1666666666667,298.0,-102.0,121,7,2,0.7107781,High
SUB-00066,Pune,Basic,"186,154,278,240,172,172",1,2026-05-18,13,237.19,0,200.33333333333334,154.0,-14.0,24,9,0,2.926894e-05,Low
SUB-00067,Pune,Standard,"516,432,367,473,425,487",2,2026-02-26,55,433.21,0,450.0,367.0,-29.0,105,9,2,0.02621907,Low
SUB-00068,Ahmedabad,Premium,"564,641,575,607,615,623",1,2025-12-21,7,615.51,0,604.1666666666666,564.0,59.0,172,0,1,0.569493,Medium
SUB-00069,Delhi,Basic,"237,358,174,299,96,125",3,2026-03-17,52,229.67,0,214.83333333333334,96.0,-112.0,86,3,0,0.06996951,Low
SUB-00070,Delhi,Basic,"142,173,157,300,259,276",2,2026-04-24,25,212.78,0,217.83333333333334,142.0,134.0,48,3,0,0.00019035886,Low
SUB-00071,Jaipur,Standard,"429,491,479,511,433,468",0,2026-02-23,18,486.08,0,468.5,429.0,39.0,108,5,2,0.0036155838,Low
SUB-00072,Bangalore,Standard,"384,469,468,423,454,375",4,2026-04-09,60,438.54,0,428.8333333333333,375.0,-9.0,63,1,2,0.004141187,Low
SUB-00073,Delhi,Standard,"486,561,408,534,425,558",2,2026-01-22,104,496.2,0,495.3333333333333,408.0,72.0,140,3,2,0.5795051,Medium
SUB-00074,Delhi,Basic,"183,240,190,192,166,182",4,2026-01-24,84,184.9,1,192.16666666666666,166.0,-1.0,138,3,0,0.991884,High
SUB-00075,Mumbai,Basic,"173,194,264,177,286,359",2,2026-04-12,119,259.23,0,242.16666666666666,173.0,186.0,60,8,0,0.0024214229,Low
SUB-00076,Bangalore,Standard,"498,535,569,536,393,421",2,2026-02-08,63,485.88,0,492.0,393.0,-77.0,123,1,2,0.08487611,Low
SUB-00077,Chennai,Standard,"420,347,447,342,378,485",2,2026-05-27,116,418.76,0,403.1666666666667,342.0,65.0,15,2,2,8.210279e-05,Low
SUB-00078,Bangalore,Standard,"430,415,362,440,377,411",2,2026-03-04,1,405.81,0,405.8333333333333,362.0,-19.0,99,1,2,0.055895995,Low
SUB-00079,Kolkata,Standard,"573,586,561,676,575,500",2,2026-02-23,37,578.0,0,578.5,500.0,-73.0,108,6,2,0.010302353,Low
SUB-00080,Jaipur,Premium,"723,747,756,790,768,693",4,2026-02-07,92,759.96,0,746.1666666666666,693.0,-30.0,124,5,1,0.17967118,Low
SUB-00081,Bangalore,Basic,"291,185,258,302,268,283",4,2026-04-17,38,261.41,0,264.5,185.0,-8.0,55,1,0,0.00051950215,Low
SUB-00082,Mumbai,Premium,"708,803,726,842,765,785",7,2026-01-24,95,778.67,1,771.5,708.0,77.0,138,8,1,0.90651023,High
